field,median_actual,q05_actual,q95_actual,median_early,q05_early,q95_early,median_late,q05_late,q95_late,median_late_minus_actual,q05_late_minus_actual,q95_late_minus_actual,median_actual_minus_early,q05_actual_minus_early,q95_actual_minus_early
cd10,2272.69390040728,2209.514461351332,2347.1832575689414,2280.702350128854,1959.6420671637948,2777.1995539035206,2242.303323917961,2143.003548650945,2368.6274270181793,-34.231704779456265,-113.99432150151091,73.94775219359617,-6.717130450010501,-467.8580941194307,311.62457931463126
cd20,11318.310999393289,11107.389912145929,11570.690678640545,8404.905705243304,7277.9148644116785,11593.77716131039,13236.587784169427,12482.075112034941,14137.878170539458,1899.4795338187723,1173.8721954604607,2795.4267511558282,2896.609253193683,-82.39559260264465,4024.1964734560465
cd30,27774.672523072844,27239.299229117296,30802.895902383138,16440.754078594997,13700.070406560411,42190.814650247456,41270.51883391539,37435.288293468155,46222.10017848797,13179.46731566292,8867.09279459203,18306.63971271473,11272.158321066188,-11315.009159075438,13870.638438935746
cd_may1,41803.75764157965,40637.58115789895,43381.74173101315,20619.305363701398,16657.11745056114,36954.042251692284,66429.57186557598,57768.06543112315,78660.37232750814,24584.480819806602,16658.734453398505,36238.04848124345,21216.256589741708,4876.415286771129,25250.618663656063
