NCHS,pop,cd10_early_median,cd10_early_mean,cd10_early_q05,cd10_early_q95,cd10_actual_median,cd10_actual_mean,cd10_actual_q05,cd10_actual_q95,cd10_late_median,cd10_late_mean,cd10_late_q05,cd10_late_q95,cd20_early_median,cd20_early_mean,cd20_early_q05,cd20_early_q95,cd20_actual_median,cd20_actual_mean,cd20_actual_q05,cd20_actual_q95,cd20_late_median,cd20_late_mean,cd20_late_q05,cd20_late_q95,cd30_early_median,cd30_early_mean,cd30_early_q05,cd30_early_q95,cd30_actual_median,cd30_actual_mean,cd30_actual_q05,cd30_actual_q95,cd30_late_median,cd30_late_mean,cd30_late_q05,cd30_late_q95,cdmay1_early_median,cdmay1_early_mean,cdmay1_early_q05,cdmay1_early_q95,cdmay1_actual_median,cdmay1_actual_mean,cdmay1_actual_q05,cdmay1_actual_q95,cdmay1_late_median,cdmay1_late_mean,cdmay1_late_q05,cdmay1_late_q95
1,93305294,791.1307125860098,799.0341390285143,689.3547056894116,928.3878623872587,786.2619350846717,785.7603086725236,743.7629359415599,825.5447883887778,785.1612358813004,785.2410146348666,743.850704038837,825.92696569176,4333.3443409310585,4394.65050907504,3665.7598837711257,5269.285698130128,5550.062917270361,5549.683076798493,5414.140275954387,5689.089564609375,6016.190270033849,6026.113687504358,5673.344687861695,6398.691175719792,9883.08848204705,10018.30699463207,7882.781083048923,12772.158012980235,15969.481123956428,15978.47813753351,15684.944110388582,16287.173820722694,22301.090558812193,22352.671093581197,19415.946226204615,25485.314229914973,13236.699996266252,13439.420909431044,10106.648653295235,17442.614437884524,26226.895530561873,26266.376492047664,25306.57309943873,27320.02769949977,39847.512230196866,40096.88020710185,32145.52599975446,49152.646185609854
2,42431583,523.1713108596011,527.0811700212681,430.7218374180414,642.0996171994966,668.779845121082,668.6546934794085,630.9075213756568,708.6551148815693,706.068487427723,708.3961617130602,650.5937304379584,774.751539766463,1729.6184806500582,1753.9508005916953,1381.8973456693875,2182.9165563508345,3056.8213075543845,3057.479876011634,2965.657855813719,3150.320159419939,4073.7692238776654,4077.684134803921,3593.844851753028,4639.840284015967,3022.0071210247465,3081.341020431751,2333.2719409504743,4037.988179044146,6868.574490881872,6873.535556447171,6676.037201315514,7085.324884245128,12128.891852913233,12229.337505391586,9846.408441078293,15021.55903682788,3525.083890350764,3627.732077790867,2662.33753566238,4929.011592314557,9789.05213741579,9819.486235190625,9231.405652114247,10525.625129678661,18227.547453572442,18523.15831057183,13983.83272662393,24216.41823639794
3,36663864,372.1041831687111,376.1836218079563,279.0530938171288,485.5458352859872,460.6623454376818,461.4576913856768,432.489745912727,493.7949061262057,488.4778953920491,489.521518797276,440.3127059707866,548.0647043587229,968.2035046853133,979.3138879878544,715.8351732164014,1275.1210795468558,1694.38633892384,1695.451415789354,1625.41917821724,1766.4863967643125,2297.208578607375,2332.4464152820483,1942.5044632442225,2794.924994219791,1400.3747387704614,1437.5507577040246,1017.1289782312215,1985.101053697347,3272.2156931036507,3274.50077053612,3091.8759151831555,3464.3475259628462,5260.195789435824,5387.016417076144,4291.362236590138,6862.96295366273,1627.3447657325314,1692.9315221444251,1133.1157422539052,2482.2657445503232,4456.338317416654,4488.631816376459,4036.5064249945162,5106.2844412773065,7205.276509940888,7410.904619038592,5682.753620082015,9908.059043145468
4,7170252,266.7153987661897,275.10709783932407,178.24274005200544,408.9903722309966,193.64849671275516,193.90926094547075,172.77952565431113,215.530020291541,150.0628034973123,151.19525758769336,124.1455923424207,182.43972069914545,627.2443715285908,651.0731624962934,409.8828798421183,1009.8693349298336,541.0560969406131,542.4452225234188,496.5767609918735,594.5317042537852,436.8171292091843,443.3331036649919,339.4742792478859,574.2611159222455,839.8216822403931,895.7277542841671,519.8575459601931,1491.7495960180938,832.5587972282144,841.3854314361721,743.8249202419497,971.7846832880143,704.4844248582942,721.4329080013623,514.3689333203008,976.4553638757322,890.8438217395923,965.1500987636513,540.9379483219308,1634.3786373600453,917.9827439362766,930.6471264367224,801.2811126230093,1095.2059993175908,744.7731340284357,763.3831510566088,535.3574952944176,1053.160385783187
5,2387336,137.08001502215308,141.54941222951032,86.68501259429958,211.28534549107664,126.64476297956186,127.22670247988354,110.87738064211457,145.95215942418125,95.50918397597005,97.24927094517075,73.31306637144455,127.88994629886521,235.51441425136753,244.2855026157793,153.18211056585972,363.2550438216875,346.05223760249646,346.9496192207785,312.7344056518806,385.3608564099037,328.2470634191367,336.2875734771484,241.2337179800818,459.94494909205434,298.34445617921483,311.5460929105676,192.5158606089072,480.4003705405467,530.6778893194501,542.6181101826884,461.40479760231534,660.3854499285043,698.7373869558542,718.5437651620349,496.71468146403953,1016.6970472423828,294.16694331327244,308.0390848936183,189.80855706335092,479.5012803487485,534.3305184027977,546.2345295695305,460.59494379905266,669.1246787974861,648.1744780957173,662.5438940419231,456.8296214337549,903.8540919394516
6,394208,144.8584605159541,204.69677852556023,50.5664895311369,561.1487016532383,37.601234950976576,37.81387868214361,28.019548278636734,48.552011065129456,13.317246818918443,13.866978027776769,7.033944869634594,23.49306222264638,289.7689759476608,1247.4900336402864,89.62701195057424,3459.213293506389,106.8694558979067,134.27493849928132,69.10471176045935,306.2158681737274,31.995425178915177,35.793327062060946,15.701344523103309,69.76027050933585,395.62491074981926,54365.9794494758,100.80086824182928,28176.277003060724,184.97041635101994,1403.376633019769,96.63974083347667,3329.11746440875,72.65077456447455,104.86945345433743,27.0401161150505,258.09385981773096,394.8716751275365,7882.468499788369,100.02101303446095,18310.184310902183,162.18098693015077,259.624797657795,92.15667299009095,622.2391073636837,41.333139489156395,50.69370594340164,19.209440221102273,112.28330903956879
