field,median_actual,q05_actual,q95_actual,median_early,q05_early,q95_early,median_late,q05_late,q95_late,median_late_minus_actual,q05_late_minus_actual,q95_late_minus_actual,median_actual_minus_early,q05_actual_minus_early,q95_actual_minus_early
cd10,2353.185426724138,2280.700151996682,2424.563105664726,2106.7200570989316,1902.9651520057125,2328.5502649843806,2375.075139531785,2278.8341156616907,2482.786990953589,20.868682311936443,-39.93899630216622,96.55092958292106,245.63634923307862,35.61281957045391,430.78912321027417
cd20,11504.435107213521,11301.10000081697,11729.293820046507,9051.05388935721,8035.321149978022,10464.19278573454,12073.476345438667,11615.591252225748,12624.443689158947,557.6080408410046,148.72475445816153,1047.9601740311184,2448.231388158349,1083.3996843471866,3489.714966052743
cd30,28709.581741685783,28237.10323325774,29706.10116666139,20240.039214207492,16987.42388556075,28022.33205410486,32600.495898713263,30262.005511066312,35312.812518681894,3821.255053563991,1196.6903841981145,6496.59339450249,8421.19584301212,1337.6591759670275,11560.689130503155
cd_may1,43188.54795431314,42224.90145327831,44509.73191137166,27358.078006101052,22381.090698829226,36156.984799137106,49427.68048053922,43451.39686033873,56970.04166694099,6211.5337814989325,20.867323133523424,13728.667187432009,15827.983179412557,8228.654822478202,20903.633084790217
