NCHS,pop,cd10_early_median,cd10_early_q05,cd10_early_q95,cd10_actual_median,cd10_actual_q05,cd10_actual_q95,cd10_late_median,cd10_late_q05,cd10_late_q95,cd20_early_median,cd20_early_q05,cd20_early_q95,cd20_actual_median,cd20_actual_q05,cd20_actual_q95,cd20_late_median,cd20_late_q05,cd20_late_q95,cd30_early_median,cd30_early_q05,cd30_early_q95,cd30_actual_median,cd30_actual_q05,cd30_actual_q95,cd30_late_median,cd30_late_q05,cd30_late_q95,cdmay1_early_median,cdmay1_early_q05,cdmay1_early_q95,cdmay1_actual_median,cdmay1_actual_q05,cdmay1_actual_q95,cdmay1_late_median,cdmay1_late_q05,cdmay1_late_q95
1,92512712,705.766646560975,646.8199867985862,774.3298066395871,776.7270140140519,736.6773213670533,812.7878400375596,780.2529589650492,740.894935266832,815.9768415968158,4177.935501767284,3576.479153952798,4916.210138228539,5557.743568796264,5416.271841775354,5695.3032525565,5798.953033054749,5560.854006086287,6034.312547354392,10218.22287932201,7994.384056693954,13035.87003224567,16041.14561399323,15734.572348834574,16330.279818281722,18807.330416932215,16964.9426231208,20943.46019589155,14113.853624205794,10387.09255118866,19188.654891170263,26099.482026355177,25394.99533187768,27001.19208612245,32074.145074843058,26906.731408427462,39272.906313197615
2,48041280,596.8484640653985,516.3432059637432,698.5807871731515,726.376158100021,686.8370392429958,766.6230853495364,760.3401766974117,709.4343461239665,823.1023394845923,2498.1086432604934,2087.4057946184394,3018.2502171944493,3199.800575491983,3101.3651588722455,3297.2586394730524,3480.6300297924895,3231.736499854146,3784.195284567941,5710.795167185892,4533.873888751672,7491.032147861988,7411.266509229212,7201.7594585655015,7669.404140069055,8155.163912694892,7266.804001344001,9290.27340482694,8226.03877410744,6198.351925469808,12143.155706558122,10632.57503547012,10182.736608716858,11526.538957441122,10587.744525911916,9075.346295960311,12514.782413780555
3,38840619,400.1701653090289,339.2710915146446,472.7088961919871,460.12251421437315,429.1228085078934,495.88371752878015,472.73996693507047,435.74765796357667,513.0893231766997,1252.505024810253,1019.1033668012857,1529.7386002074002,1664.811117986345,1597.0801105625378,1738.1536860935173,1782.3372277094668,1599.9426446398006,1981.299334632162,2199.446536915396,1709.1948951902025,2882.4187642003794,3420.5015423985014,3301.0929635333587,3553.543748482224,3821.341550007041,3263.265801108486,4460.43630614561,2767.8960952627453,2101.372834169993,3837.8103894384535,4614.715520032461,4378.072669041437,4869.053142944176,4992.852448700882,4115.528668428067,6052.942361730084
4,8483733,199.95105876502708,157.1351169219189,255.61013765140942,206.08105818112165,185.61205281583662,228.0642835324576,183.99047542447965,160.58930203199057,212.72410613405665,539.5536699949871,409.92753622941274,715.811387389111,567.1080912962794,526.0803145999988,614.9100012571041,517.823238932376,441.7320946356189,618.100994239683,800.8785677454066,590.7269398807538,1155.783666685247,935.5929203008519,867.3964041741943,1040.8410346145035,855.1927011690949,700.3427186443502,1075.7567149000367,857.2564406435413,622.9891788978413,1276.1701406022416,1015.4569720396694,934.8828003741294,1120.3444164073935,860.6210012830772,695.3256928236164,1095.6641458230565
5,3207640,127.9542164778894,88.58900497543445,188.98495264210385,139.0049580007294,122.59400714846961,157.69866588430165,135.1631456419131,111.46110613564053,169.98484344589875,291.5383294759183,194.25461836962614,481.7262680132839,380.5142857235702,345.7099168972949,427.7118866892661,385.2093623509852,289.304032728373,530.1744421211287,388.62704231532894,244.55223427552951,765.12755181696,584.9866132728891,514.981318976034,725.4715497288477,644.0044996398199,452.0007128882523,922.4995578645705,390.78184636184244,247.64946887508162,755.4325334496106,567.0563846345901,506.4330742837638,658.662017829879,569.074296543027,404.3367516116279,797.9136641925461
6,657004,59.26729393444732,28.089985750952252,129.10564660038946,43.19096289684218,34.3141191549961,55.379569263466955,36.022173373709236,24.456860767533918,54.98965636998962,189.6510226192936,78.67002639530627,834.6517727397343,125.60122520658481,101.345953465167,212.48996262961043,91.14747374870116,57.12667292424057,150.3135992658537,372.8828565847401,128.73687324993153,8636.759435306252,250.16343705572132,172.36570324556212,1154.7954279180092,159.34730607733772,90.35172347762168,298.0038771931894,331.4117808744103,120.73225504941735,2198.4450987476753,184.15442686474046,148.38112985559303,260.9278153295934,111.0660428383159,67.17754193151137,187.8432046182262
